x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	y
109	2000	Jan	126.86	29.1	1229	0	3	1	1	1	0.000947	3658
110	2000	Feb	155.45	31.5	999	0	3	1	1	1	0.000947	4681
111	2000	Mar	121.19	41.9	734	0	3	1	1	1	0.000947	3455
112	2000	Apr	190.62	53.4	373	0	3	1	1	1	0.001566	5805
113	2000	May	115.7	63.7	162	94	4	1	1	1	0.000523	3311
114	2000	Jun	81.35	72.9	4	211	3	1	1	1	0.000523	2062
115	2000	Jul	91.23	76.8	0	328	3	1	1	1	0.00038	2434
116	2000	Aug	86.28	75	0	261	3	1	1	1	0.00038	2253
117	2000	Sep	83.97	68.4	52	110	2	1	1	1	0.00038	1320
118	2000	Oct	77.65	56.8	326	18	2	1	1	1	0.000021	1182
119	2000	Nov	72.3	43.3	644	0	2	1	1	1	0.000021	1055
120	2000	Dec	89.49	32.5	1049	0	2	1	1	1	0.000021	1462
